artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness
t.A.T.u.,All The Things She Said,214440,TRUE,2020,39,0.527,0.834,5,-5.767
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,285570,FALSE,2003,66,0.793,0.698,11,-3.626
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,TRUE,2002,68,0.648,0.759,6,-4.315
Panjabi MC,Mundian to Bach Ke,244666,FALSE,2003,61,0.778,0.879,8,-4.951
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,FALSE,2004,59,0.734,0.668,0,-3.935
JAY-Z,03' Bonnie & Clyde,205560,TRUE,2002,71,0.759,0.678,9,-5.148
50 Cent,P.I.M.P.,249480,TRUE,2003,76,0.712,0.772,10,-3.024
Jamelia,Superstar,215480,FALSE,2003,69,0.801,0.645,1,-6.93
Linkin Park,Faint,162600,FALSE,2003,72,0.554,0.978,4,-3.554
DMX,X Gon' Give It To Ya,217586,TRUE,2007,70,0.761,0.899,10,-3.09
Evanescence,Bring Me To Life,235893,FALSE,2003,79,0.331,0.943,4,-3.188
Sugababes,Hole In The Head,218173,FALSE,2003,57,0.785,0.933,6,-4.629
Craig David,Rise & Fall (feat. Sting),287226,FALSE,2002,59,0.405,0.589,6,-7.51
Three Days Grace,I Hate Everything About You,231480,FALSE,2003,72,0.498,0.83,6,-5.157
Lil Jon & The East Side Boyz,Get Low,324600,FALSE,2002,47,0.78,0.604,1,-8.019
B2K,"Bump, Bump, Bump (feat. P. Diddy)",282773,FALSE,2003,62,0.835,0.68,1,-6.02
Baby Bash,Suga Suga,239026,FALSE,2003,73,0.662,0.748,5,-3.041
Aaliyah,Miss You - Main,245240,FALSE,2002,36,0.602,0.34,10,-9.867
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,223773,FALSE,2003,59,0.804,0.836,6,-6.635
Blue,Sorry Seems To Be The Hardest Word,210066,FALSE,2004,57,0.564,0.6,7,-6.814
Delta Goodrem,Lost Without You,248546,FALSE,2003,54,0.581,0.747,7,-6.682
Justin Timberlake,Rock Your Body,267266,FALSE,2002,76,0.892,0.714,4,-6.055
The White Stripes,Seven Nation Army,231920,FALSE,2003,3,0.741,0.469,4,-7.627
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,298600,TRUE,2003,54,0.772,0.724,6,-5.799
Beyoncé,Baby Boy (feat. Sean Paul),244826,FALSE,2003,63,0.655,0.488,1,-9.17
Lil' Kim,Magic Stick,359973,TRUE,2019,47,0.849,0.498,2,-7.872
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),255266,FALSE,2002,61,0.859,0.658,8,-4.481
Nickelback,Someday,207466,FALSE,2003,68,0.455,0.858,11,-5.659
Blue,U Make Me Wanna - Radio Edit,222400,FALSE,2003,48,0.6,0.736,7,-6.228
Ashanti,Rain On Me,297960,FALSE,2003,50,0.606,0.699,8,-3.103
Trapt,Headstrong,285569,TRUE,2002,72,0.492,0.896,4,-5.819
Simply Red,Sunrise,199040,FALSE,2008,58,0.791,0.733,5,-5.123
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",184906,FALSE,2003,61,0.811,0.657,6,-6.197
Girls Aloud,Sound Of The Underground,221426,FALSE,2003,58,0.568,0.867,11,-5.861
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,FALSE,2016,52,0.527,0.808,1,-4.749
Room 5,Make Luv,212413,FALSE,2003,57,0.883,0.887,1,-4.92
Fatman Scoop,Be Faithful,164506,TRUE,2009,49,0.649,0.713,7,-6.488
Limp Bizkit,Behind Blue Eyes,269973,FALSE,2003,70,0.595,0.489,7,-6.66
Sugababes,Too Lost In You,237693,FALSE,2003,58,0.586,0.705,1,-4.904
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",219400,TRUE,2003,57,0.802,0.863,1,-3.552
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,236506,TRUE,2003,67,0.894,0.404,9,-5.913
Chingy,Right Thurr,250746,TRUE,2003,69,0.866,0.749,2,-3.977
Eminem,Sing For The Moment,339546,TRUE,2002,71,0.668,0.824,5,-4.164
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,234800,TRUE,2003,48,0.853,0.752,1,-8.831
Mýa,My Love Is Like...Wo - Main Mix,209533,FALSE,2003,48,0.831,0.695,4,-6.491
50 Cent,21 Questions,224440,TRUE,2003,72,0.646,0.813,6,-3.846
Nelly,Air Force Ones,304000,TRUE,2002,61,0.784,0.459,4,-9.74
Missy Elliott,Gossip Folks (feat. Ludacris),234893,TRUE,2002,57,0.707,0.538,0,-5.264
Girls Aloud,Jump,220360,FALSE,2003,60,0.658,0.826,8,-6.031
Ultrabeat,Pretty Green Eyes - Radio Edit,201920,FALSE,2003,59,0.553,0.775,1,-10.284
Christina Aguilera,Fighter,245960,FALSE,2002,67,0.435,0.92,4,-1.357
Frankie J,Don't Wanna Try,245293,FALSE,2003,49,0.655,0.433,5,-7.577
Snoop Dogg,Beautiful,299146,TRUE,2005,67,0.893,0.74,11,-4.936
Floetry,Say Yes,268373,FALSE,2002,57,0.747,0.398,5,-12.932
Ginuwine,In Those Jeans,243306,TRUE,2003,59,0.691,0.541,1,-5.873
Electric Six,Danger! High Voltage - Soulchild Radio Mix,214600,FALSE,2003,0,0.66,0.698,11,-4.722
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,208386,FALSE,2003,38,0.85,0.862,2,-3.587
Ludacris,Stand Up,213760,TRUE,2003,57,0.751,0.84,6,-4.855
Nas,I Can,253720,FALSE,2002,58,0.837,0.885,6,-3.914
3 Doors Down,When I'm Gone,260333,FALSE,2002,67,0.53,0.768,7,-5.611
Tyrese,How You Gonna Act Like That,294693,FALSE,2002,60,0.733,0.521,3,-3.657
Justin Timberlake,Cry Me a River,288333,FALSE,2002,73,0.624,0.654,8,-6.582
Westlife,Mandy,199320,FALSE,2003,57,0.447,0.636,5,-5.08
No Doubt,It's My Life,226053,FALSE,2003,60,0.612,0.735,8,-5.074
Amanda Perez,Angel,218760,FALSE,2003,48,0.638,0.54,0,-6.849
JAY-Z,Excuse Me Miss,281240,TRUE,2002,56,0.714,0.862,6,-5.531
Coldplay,Clocks,307879,FALSE,2002,79,0.577,0.749,5,-7.215
Kelly Rowland,Stole,249293,FALSE,2002,54,0.649,0.718,7,-4.984
Missy Elliott,Work It,263226,TRUE,2002,70,0.884,0.677,1,-5.603
Ashanti,Rock Wit U (Awww Baby),209120,FALSE,2003,65,0.71,0.797,4,-3.006
Junior Senior,Move Your Feet,181826,FALSE,2002,67,0.747,0.904,9,-2.623
Audioslave,Like a Stone,293960,FALSE,2002,75,0.614,0.568,7,-5.477
Sean Paul,Like Glue,232506,FALSE,2002,61,0.757,0.78,1,-5.038
Jaheim,Put That Woman First,245773,TRUE,2002,55,0.649,0.536,5,-8.804
Jennifer Lopez,All I Have (feat. LL Cool J),254466,FALSE,2002,60,0.701,0.669,1,-5.265
Monica,So Gone,242773,FALSE,2003,64,0.618,0.552,8,-6.863
Dido,White Flag,240040,FALSE,2003,44,0.512,0.525,5,-6.823
The Roots,The Seed (2.0),267933,TRUE,2002,63,0.758,0.957,7,-2.281
Chingy,Holidae In,314400,TRUE,2003,61,0.81,0.791,7,-5.909
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),223973,TRUE,2003,61,0.646,0.6,9,-6.569
Kelly Clarkson,Miss Independent,214773,FALSE,2003,47,0.656,0.615,11,-6.359
Ja Rule,Mesmerize,278693,TRUE,2002,61,0.769,0.646,1,-6.653
Matchbox Twenty,Unwell,228706,FALSE,2002,63,0.256,0.788,6,-5.263
Outkast,The Way You Move (feat. Sleepy Brown),234000,TRUE,2003,66,0.871,0.597,5,-4.932
Fabolous,Into You (feat. Tamia),295773,TRUE,2003,67,0.546,0.538,7,-7.886
Switchfoot,Meant to Live,201373,FALSE,2003,61,0.397,0.903,2,-4.577
Daniel Bedingfield,If You're Not The One,257026,FALSE,2002,58,0.688,0.538,10,-7.608
Good Charlotte,Lifestyles of the Rich & Famous,190173,FALSE,2002,68,0.62,0.93,1,-3.685
Wayne Wonder,No Letting Go,202013,FALSE,2003,63,0.496,0.819,5,-5.656
The Strokes,Reptilia,219826,FALSE,2003,74,0.489,0.649,9,-5.11
Avril Lavigne,I'm with You,223066,FALSE,2002,70,0.457,0.406,9,-7.462
Will Young,Leave Right Now,214733,FALSE,2003,55,0.641,0.445,6,-8.674
Usher,Yeah! (feat. Lil Jon & Ludacris),250373,FALSE,2004,81,0.894,0.791,2,-4.699
Maroon 5,This Love,206200,FALSE,2002,77,0.712,0.862,5,-4.612
Britney Spears,Toxic,198800,FALSE,2003,81,0.774,0.838,5,-3.914
Outkast,Hey Ya!,235213,FALSE,2003,80,0.727,0.974,4,-2.261
Hoobastank,The Reason,232800,FALSE,2003,79,0.472,0.671,4,-4.649
Anastacia,Left Outside Alone,257426,FALSE,2004,65,0.663,0.746,2,-3.567
Daddy Yankee,Gasolina,192600,FALSE,2004,11,0.857,0.801,0,-6.499
Black Eyed Peas,Let's Get It Started - Spike Mix,217733,FALSE,2004,53,0.785,0.799,11,-2.208
O-Zone,Dragostea Din Tei,215431,FALSE,2004,56,0.809,0.965,0,-3.947
Terror Squad,Lean Back,247426,TRUE,2004,67,0.783,0.916,1,-3.344
Anastacia,Sick and Tired,212266,FALSE,1999,56,0.598,0.868,0,-4.552
Gwen Stefani,What You Waiting For?,221226,FALSE,2004,60,0.676,0.948,5,-2.557
Ashanti,Only U - No Intro,186306,FALSE,2004,56,0.601,0.621,6,-5.576
The Rasmus,In the Shadows,257920,FALSE,2003,68,0.6,0.796,2,-4.481
Houston,I Like That,236520,FALSE,2004,59,0.797,0.502,10,-3.925
Beyoncé,Naughty Girl,208600,FALSE,2003,63,0.735,0.466,6,-8.65
Linkin Park,Numb,185586,FALSE,2003,81,0.496,0.863,9,-4.153
Lloyd Banks,On Fire,187280,TRUE,2004,61,0.759,0.825,8,-4.289
Akon,Locked Up,235066,TRUE,2004,16,0.818,0.579,7,-4.475
D12,My Band,298773,TRUE,2004,73,0.851,0.849,1,-3.383
Jay Sean,Eyes On You - Radio Mix,190493,FALSE,2004,42,0.802,0.672,7,-4.971
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,FALSE,2016,66,0.833,0.515,11,-5
Destiny's Child,Lose My Breath,242013,FALSE,2004,61,0.814,0.899,1,-5.958
Eric Prydz,Call on Me - Radio Mix,171360,FALSE,2004,72,0.597,0.837,10,-6.518
Ciara,Goodies (feat. Petey Pablo),223000,FALSE,2004,67,0.826,0.647,5,-6.306
Kelis,Trick Me,206106,TRUE,2003,63,0.97,0.72,1,-3.347
LL Cool J,Headsprung,267320,FALSE,2004,56,0.718,0.786,0,-5.76
Spiderbait,Black Betty - Edit,205973,FALSE,2004,63,0.562,0.865,7,-6.476
George Michael,Amazing,265826,FALSE,2004,57,0.805,0.754,10,-6.825
Britney Spears,My Prerogative,213893,FALSE,2004,53,0.749,0.938,10,-4.423
Nina Sky,Move Ya Body,232000,FALSE,2004,67,0.87,0.712,11,-6.313
Baby Bash,Suga Suga,239026,FALSE,2003,73,0.662,0.748,5,-3.041
Petey Pablo,Freek-A-Leek,235186,TRUE,2003,56,0.737,0.697,2,-3.716
JAY-Z,Dirt Off Your Shoulder,245173,TRUE,2003,53,0.779,0.655,1,-7.147
Juanes,La Camisa Negra,216706,FALSE,2004,70,0.751,0.731,6,-4.419
Avril Lavigne,Nobody's Home,212413,FALSE,2004,61,0.348,0.907,5,-3.66
Robbie Williams,Radio,233600,FALSE,2004,33,0.607,0.874,5,-5.409
Black Eyed Peas,Hey Mama,214893,TRUE,2003,49,0.86,0.866,4,-6.345
Ying Yang Twins,Salt Shaker,252440,TRUE,2003,61,0.884,0.697,11,-6.022
Enrique Iglesias,Not In Love - Radio Mix,223133,FALSE,2003,37,0.762,0.885,0,-5.096
Kelis,Milkshake,182626,FALSE,2003,68,0.881,0.774,1,-6.068
Linkin Park,Breaking the Habit,196906,FALSE,2003,68,0.579,0.849,4,-5.218
JoJo,Leave (Get Out) - Radio Edit,242746,FALSE,2005,49,0.656,0.513,5,-8.691
Christina Milian,Dip It Low,197186,FALSE,2004,45,0.752,0.722,11,-4.207
Avant,Read Your Mind,263506,FALSE,2003,56,0.755,0.381,8,-6.696
Eminem,Just Lose It,248680,TRUE,2004,67,0.94,0.633,8,-3.56
Sugababes,Too Lost In You,237693,FALSE,2003,58,0.586,0.705,1,-4.904
Snoop Dogg,Drop It Like It's Hot,266066,TRUE,2004,39,0.892,0.628,1,-3.832
Sean Paul,I'm Still in Love with You (feat. Sasha),273360,FALSE,2002,68,0.765,0.666,7,-5.384
The Shapeshifters,Lola's Theme - Radio Edit,207066,FALSE,2004,65,0.748,0.845,5,-4.612
D12,How Come,249533,TRUE,2004,57,0.745,0.858,9,-2.221
Basement Jaxx,Good Luck,282306,FALSE,2003,0,0.571,0.968,5,-3.092
Kevin Lyttle,Turn Me On,192106,FALSE,2004,67,0.677,0.682,9,-6.879
Chingy,One Call Away,276800,FALSE,2003,61,0.765,0.821,4,-5.926
T.I.,Bring Em Out,216706,TRUE,2004,63,0.759,0.891,11,-2.983
DJ Casper,Cha Cha Slide - Hardino Mix,222146,FALSE,2004,51,0.853,0.911,11,-6.722
Kylie Minogue,I Believe in You,200973,FALSE,2004,47,0.548,0.785,7,-5.087
Twista,Overnight Celebrity,233360,TRUE,2004,66,0.828,0.792,10,-5.435
N.E.R.D,She Wants To Move,213786,FALSE,2004,57,0.766,0.851,5,-4.831
Britney Spears,Everytime,230306,FALSE,2003,63,0.398,0.284,3,-12.852
U2,Vertigo,193520,FALSE,2004,64,0.416,0.819,9,-3.974
Franz Ferdinand,Take Me Out,237026,FALSE,2004,77,0.277,0.663,4,-8.821
J-Kwon,Tipsy - Club Mix,247106,TRUE,2001,59,0.925,0.741,9,-5.827
G-Unit,Wanna Get To Know You,265026,TRUE,2003,61,0.513,0.826,10,-3.651
Lil' Flip,Sunshine (feat. Lea),225173,TRUE,2004,42,0.814,0.387,0,-9.867
Kanye West,Jesus Walks,193733,TRUE,2004,73,0.637,0.834,3,-4.686
Evanescence,My Immortal,262533,FALSE,2003,72,0.19,0.265,9,-9.206
Nelly,My Place,336506,TRUE,2004,57,0.6,0.641,1,-4.237
Lemar,If There's Any Justice,229080,FALSE,2004,46,0.706,0.665,6,-5.348
No Doubt,It's My Life,226053,FALSE,2003,60,0.612,0.735,8,-5.074
Avril Lavigne,Don't Tell Me,202013,FALSE,2004,58,0.523,0.795,4,-2.92
Twista,Slow Jamz,316053,TRUE,2004,72,0.559,0.733,2,-5.659
Green Day,American Idiot,176346,TRUE,2004,77,0.38,0.988,1,-2.042
Kelis,Millionaire,224933,FALSE,2003,57,0.68,0.847,11,-6.636
Scissor Sisters,Comfortably Numb,266040,FALSE,2004,43,0.803,0.924,7,-6.466
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),284160,FALSE,2003,55,0.663,0.465,8,-9.711
Kanye West,Through The Wire,221226,TRUE,2004,76,0.571,0.739,7,-6.11
Special D.,Come With Me - Radio Edit,185133,FALSE,2004,61,0.739,0.999,7,-5.077
Ludacris,Splash Waterfalls,290760,TRUE,2003,48,0.734,0.846,11,-6.102
Avril Lavigne,My Happy Ending,242413,TRUE,2004,68,0.414,0.936,2,-2.407
Dido,White Flag,240040,FALSE,2003,44,0.512,0.525,5,-6.823
Eamon,Fuck It (I Don't Want You Back),225106,TRUE,2004,64,0.828,0.653,0,-6.245
Beyoncé,"Me, Myself and I",301133,FALSE,2003,62,0.75,0.458,1,-9.092
3 Doors Down,Here Without You,238733,FALSE,2002,74,0.557,0.533,10,-6.817
Kanye West,All Falls Down,223506,TRUE,2004,80,0.657,0.734,8,-4.832
Twista,Sunshine (feat. Anthony Hamilton),226013,TRUE,2004,56,0.926,0.888,11,-5.337
Katie Melua,The Closest Thing to Crazy,252466,FALSE,2003,55,0.562,0.219,4,-13.2
Usher,My Boo,223440,FALSE,2004,76,0.662,0.507,5,-8.238
Lloyd,Southside,277840,FALSE,2004,59,0.688,0.404,9,-9.481
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,FALSE,2004,59,0.668,0.905,6,-5.395
The Streets,Fit but You Know It,254266,TRUE,2004,58,0.68,0.844,6,-1.729
JUVENILE,Slow Motion,248200,TRUE,2003,64,0.713,0.734,0,-4.894
Outkast,The Way You Move (feat. Sleepy Brown),234000,TRUE,2003,66,0.871,0.597,5,-4.932
Girls Aloud,Love Machine,205360,FALSE,2004,59,0.663,0.95,7,-4.21
Jessica Simpson,With You,191826,FALSE,2003,57,0.553,0.756,0,-4.583
Eminem,Like Toy Soldiers,296880,TRUE,2004,48,0.52,0.768,8,-3.489
Gary Jules,Mad World (Feat. Michael Andrews),189506,FALSE,2001,65,0.345,0.0581,3,-17.217
Ashlee Simpson,Pieces Of Me,217440,FALSE,2004,56,0.505,0.799,2,-4.286
Will Young,Leave Right Now,214733,FALSE,2003,55,0.641,0.445,6,-8.674
Alicia Keys,You Don't Know My Name,366733,FALSE,2003,61,0.264,0.663,9,-8.264
Mariah Carey,We Belong Together,201400,FALSE,2005,69,0.84,0.476,0,-7.918
Mario,Let Me Love You,256733,FALSE,2004,72,0.656,0.578,7,-8.97
Kanye West,Gold Digger,207626,TRUE,2005,78,0.629,0.696,1,-5.572
Rihanna,Pon de Replay,246960,FALSE,2005,77,0.779,0.64,7,-8.415
50 Cent,Candy Shop,209106,TRUE,2005,79,0.614,0.574,11,-7.961
James Blunt,You're Beautiful,209493,TRUE,2005,75,0.675,0.479,0,-9.87
Green Day,Boulevard of Broken Dreams,261266,TRUE,2004,72,0.49,0.679,8,-3.68
The Pussycat Dolls,Don't Cha,272080,FALSE,2005,72,0.875,0.631,1,-3.475
Daniel Powter,Bad Day,233640,FALSE,2005,74,0.599,0.785,3,-4.013
Akon,Bananza (Belly Dancer),238493,FALSE,2004,28,0.878,0.699,10,-5.897
Madonna,Hung Up,337733,FALSE,2005,74,0.649,0.647,9,-7.695
50 Cent,Just A Lil Bit,237706,TRUE,2005,76,0.489,0.692,1,-6.672
Crazy Frog,Axel F,168879,FALSE,2005,67,0.86,0.907,2,-3.321
Eminem,Ass Like That,265480,TRUE,2004,52,0.646,0.796,2,-6.152
Sean Paul,We Be Burnin',213066,FALSE,2005,59,0.95,0.803,1,-4.195
Gwen Stefani,Rich Girl,236213,FALSE,2004,68,0.856,0.754,7,-2.728
The Chemical Brothers,Galvanize,393813,FALSE,2005,63,0.745,0.714,7,-3.681
Fort Minor,Remember the Name (feat. Styles of Beyond),230493,TRUE,2005,73,0.688,0.835,8,-4.162
50 Cent,Disco Inferno,214226,TRUE,2005,72,0.925,0.659,3,-4.763
The Game,How We Do,235533,TRUE,2005,74,0.862,0.648,4,-7.401
Chris Brown,Run It! (feat. Juelz Santana),229866,FALSE,2005,71,0.846,0.482,1,-6.721
Mariah Carey,It's Like That,203360,FALSE,2005,0,0.8,0.633,8,-4.875
Black Eyed Peas,My Humps,326960,FALSE,2005,67,0.802,0.682,1,-5.924
Ciara,Oh (feat. Ludacris),256346,FALSE,2004,61,0.8,0.496,7,-7.135
50 Cent,Outta Control - Remix,247506,TRUE,2005,60,0.772,0.599,8,-5.996
Baby Bash,"Baby, I'm Back",219920,TRUE,2005,4,0.899,0.365,9,-5.461
Jennifer Lopez,Get Right,225533,FALSE,2005,65,0.741,0.759,0,-5.096
JAY-Z,Numb / Encore,205733,TRUE,2004,76,0.687,0.793,2,-4.254
The Game,Hate It Or Love It,206400,TRUE,2005,77,0.802,0.785,9,-4.781
Gorillaz,Feel Good Inc.,222640,FALSE,2005,82,0.818,0.705,6,-6.679
Black Eyed Peas,Don't Phunk With My Heart,239773,FALSE,2005,62,0.69,0.928,5,-2.76
Akon,Lonely,235800,TRUE,2004,21,0.629,0.532,5,-7.88
Bodyrockers,I Like The Way - Radio Edit,200053,FALSE,2005,54,0.642,0.851,6,-3.638
Sugababes,Push The Button,218093,FALSE,2005,64,0.962,0.66,8,-5.096
Jeezy,Soul Survivor,280013,TRUE,2005,55,0.684,0.493,10,-7.728
Eminem,Mockingbird,250760,TRUE,2004,77,0.637,0.678,0,-3.798
Shakira,La Tortura (feat. Alejandro Sanz),212893,FALSE,2005,72,0.74,0.783,0,-5.367
Gorillaz,DARE,244999,FALSE,2005,73,0.76,0.891,11,-5.852
Snoop Dogg,Signs,236813,TRUE,2004,54,0.94,0.713,7,-5.308
Robbie Williams,Tripping,276603,FALSE,2005,58,0.666,0.922,2,-4.458
David Banner,Play,230133,TRUE,2005,52,0.837,0.658,1,-8.013
Trillville,Some Cut,283454,TRUE,2004,50,0.9,0.515,1,-6.626
D4L,Laffy Taffy,224253,TRUE,2005,63,0.891,0.439,7,-7.994
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),226863,TRUE,2005,67,0.904,0.813,4,-7.105
Rob Thomas,Lonely No More,226640,FALSE,2005,56,0.551,0.896,9,-3.152
Brian McFadden,Almost Here,229826,FALSE,2004,42,0.561,0.452,9,-7.324
Bobby V.,"Slow Down - 12"" Version",258666,FALSE,2005,65,0.568,0.732,11,-4.896
Backstreet Boys,Incomplete,239586,FALSE,2005,63,0.437,0.589,4,-4.834
Pretty Ricky,Grind With Me,237733,TRUE,2005,63,0.7,0.538,1,-5.952
Kanye West,Diamonds From Sierra Leone - Remix,233400,TRUE,2005,61,0.672,0.814,7,-3.768
Snoop Dogg,Drop It Like It's Hot,266066,TRUE,2004,39,0.892,0.628,1,-3.832
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,211320,FALSE,2005,41,0.905,0.55,1,-7.558
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,FALSE,2004,63,0.878,0.417,7,-6.799
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",202213,FALSE,2005,52,0.939,0.498,5,-10.94
Amerie,1 Thing,238746,FALSE,2008,52,0.636,0.946,10,-4.683
Ludacris,Get Back,270746,TRUE,2004,59,0.555,0.639,1,-5.16
Franz Ferdinand,Do You Want To,215000,FALSE,2005,61,0.412,0.944,0,-2.896
Natalie Imbruglia,Shiver,222653,FALSE,2005,52,0.489,0.798,1,-4.49
Gwen Stefani,Hollaback Girl,199853,TRUE,2004,69,0.926,0.916,10,-2.221
Pretty Ricky,Your Body,240040,TRUE,2005,59,0.838,0.594,4,-5.695
Thirty Seconds To Mars,The Kill,231533,FALSE,2005,74,0.179,0.912,4,-3.881
Alicia Keys,Karma,256000,FALSE,2003,50,0.727,0.736,10,-6.203
2Pac,Ghetto Gospel,238053,TRUE,2004,68,0.794,0.614,5,-5.352
Craig David,Don't Love You No More (I'm Sorry),243986,FALSE,2005,56,0.636,0.558,7,-7.076
Katie Melua,Nine Million Bicycles,197160,FALSE,2005,60,0.534,0.247,0,-15.636
Lil Jon & The East Side Boyz,Lovers And Friends,260600,TRUE,2004,66,0.675,0.501,10,-6.183
Mariah Carey,Don't Forget About Us - Radio Edit,233866,FALSE,2005,0,0.7,0.529,10,-6.816
Ying Yang Twins,Wait (The Whisper Song),179160,TRUE,2005,57,0.933,0.513,7,-13.203
Will Smith,Switch,197666,FALSE,2020,34,0.873,0.9,5,-4.325
Bow Wow,Like You (feat. Ciara),205840,FALSE,2005,66,0.714,0.6,6,-8.365
Kaiser Chiefs,Everyday I Love You Less And Less,217706,FALSE,2005,58,0.49,0.956,1,-4.556
Kelly Clarkson,Behind These Hazel Eyes,198973,FALSE,2004,59,0.548,0.889,9,-4.682
Black Eyed Peas,Don't Lie,219000,FALSE,2005,61,0.662,0.785,9,-5.299
Westlife,You Raise Me Up,241066,FALSE,2005,1,0.129,0.358,10,-6.596
Ray J,One Wish,337640,FALSE,2005,62,0.525,0.652,5,-7.042
Papa Roach,Scars,208199,FALSE,2004,60,0.455,0.929,11,-3.295
Arctic Monkeys,I Bet You Look Good On The Dancefloor,173680,FALSE,2006,71,0.535,0.948,6,-4.19
Shayne Ward,That's My Goal,219600,FALSE,2006,1,0.286,0.508,2,-5.966
Bow Wow,Let Me Hold You (feat. Omarion),248493,FALSE,2005,62,0.815,0.662,6,-8.244
Kaiser Chiefs,I Predict A Riot,233186,FALSE,2005,63,0.395,0.979,8,-3.241
Usher,Caught Up,224640,FALSE,2004,61,0.817,0.806,6,-4.606
Kelly Clarkson,Because of You,219493,FALSE,2004,71,0.587,0.583,5,-5.284
3 Doors Down,Let Me Go,243053,FALSE,2012,52,0.478,0.863,1,-4.914
Nickelback,Photograph,258920,FALSE,2005,67,0.515,0.876,8,-3.756
T-Pain,I'm Sprung,231040,FALSE,2005,0,0.722,0.329,0,-11.617
Destiny's Child,Cater 2 U,245400,FALSE,2004,58,0.605,0.584,11,-7.043
The Pussycat Dolls,Stickwitu,207506,FALSE,2005,67,0.548,0.554,9,-6.408
Ryan Cabrera,TRUE,204173,FALSE,2004,62,0.598,0.4,6,-10.054
Stereophonics,Dakota,297426,FALSE,2005,69,0.506,0.93,4,-3.499
Eminem,Like Toy Soldiers,296880,TRUE,2004,67,0.52,0.768,8,-3.489
Nelly,Over And Over,253933,TRUE,2004,61,0.644,0.517,7,-10.02
Coldplay,Speed of Sound,287906,FALSE,2005,69,0.514,0.898,11,-6.765
KT Tunstall,Suddenly I See,201706,FALSE,2005,71,0.587,0.767,0,-5.713
Destiny's Child,Girl,224146,FALSE,2004,55,0.567,0.747,6,-6.019
Kelly Clarkson,Since U Been Gone,188960,FALSE,2004,71,0.662,0.739,9,-5.354
U2,Sometimes You Can't Make It On Your Own,305080,FALSE,2004,56,0.53,0.597,2,-5.652
The All-American Rejects,Dirty Little Secret,193653,FALSE,2005,65,0.469,0.955,10,-4.253
Toby Keith,As Good As I Once Was,227840,FALSE,2005,67,0.68,0.87,5,-4.461
Gwen Stefani,Cool,189333,FALSE,2004,59,0.709,0.721,2,-3.52
Foo Fighters,Best of You,255626,FALSE,2005,76,0.366,0.94,1,-5.119
Shakira,Hips Don't Lie (feat. Wyclef Jean),218093,FALSE,2005,82,0.778,0.824,10,-5.892
Sean Paul,Temperature,218573,FALSE,2005,78,0.951,0.6,0,-4.675
Justin Timberlake,SexyBack (feat. Timbaland),242733,TRUE,2006,78,0.967,0.583,7,-5.562
Beyoncé,Irreplaceable,227853,FALSE,2007,70,0.447,0.694,7,-4.637
Amy Winehouse,Rehab,214946,FALSE,2006,71,0.407,0.558,0,-13.609
Rihanna,SOS,238920,FALSE,2006,73,0.677,0.671,7,-4.905
Gnarls Barkley,Crazy,177466,FALSE,2006,74,0.855,0.587,8,-4.589
Busta Rhymes,Touch It,214960,TRUE,2006,61,0.658,0.551,1,-6.62
Nelly Furtado,Maneater,258893,FALSE,2006,79,0.796,0.777,6,-4.81
Bob Sinclar,Rock This Party - Everybody Dance Now,245466,FALSE,2006,69,0.893,0.823,5,-3.708
Diddy,Come to Me (feat. Nicole Scherzinger),276786,TRUE,2006,55,0.819,0.485,6,-6.45
Madonna,Sorry,281880,FALSE,2005,61,0.589,0.877,0,-6.229
Chamillionaire,Ridin',303053,TRUE,2005,71,0.787,0.799,8,-4.68
Black Eyed Peas,Pump It,213066,FALSE,2005,75,0.648,0.931,1,-3.15
Nelly Furtado,Promiscuous,242293,FALSE,2006,82,0.808,0.97,10,-6.098
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,150533,FALSE,2015,39,0.814,0.923,7,-4.525
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,243880,FALSE,2006,58,0.711,0.761,8,-3.04
The Pussycat Dolls,Buttons,225560,FALSE,2005,68,0.565,0.817,2,-4.338
